"Date","Name","Country",
"18 Apr 2015","Kata tournament Tours 2015","France","View inscriptions"
"10 Apr 2015","Oceania Championships Seniors 2015","New Caledonia","View results"
"27 Mar 2015","Grand Prix Samsun 2015","Turkey","View results"
"21 Mar 2015","Senior European Cup Sarajevo 2015","Bosnia and Herzegovina","View results"
"21 Mar 2015","Pan American Open Buenos Aires 2015","Argentina","View results"
"20 Mar 2015","Grand Prix Tbilisi 2015","Georgia","View results"
"14 Mar 2015","African Open Casablanca 2015","Morocco","View results"
"14 Mar 2015","Pan American Open Montevideo 2015","Uruguay","View results"
"7 Mar 2015","Senior European Cup Uster 2015","Switzerland","View results"
"7 Mar 2015","Pan American Open Santiago 2015","Chile","View results"
"28 Feb 2015","European Open Warsaw 2015","Poland","View results"
"28 Feb 2015","European Open Prague 2015","Czech Republic","View results"
"20 Feb 2015","Grand Prix Dusseldorf 2015","Germany","View results"
"14 Feb 2015","European Open Rome 2015","Italy","View results"
"14 Feb 2015","European Open Oberwart 2015","Austria","View results"
"7 Feb 2015","European Open Sofia 2015","Bulgaria","View results"
"17 Jan 2015","African Open Tunis 2015","Tunisia","View results"
"5 Dec 2014","Grand Slam Tokyo 2014","Japan","View results"
"27 Nov 2014","Grand Prix Jeju 2014","South Korea","View results"
"19 Nov 2014","Grand Prix Qingdao 2014","China","View results"
"14 Nov 2014","Oceanian Open Wollongong 2014","Australia","View results"
"8 Nov 2014","African Open Port Louis 2014","Mauritius","View results"
"31 Oct 2014","Grand Slam Abu Dhabi 2014","United Arab Emirates","View results"
"16 Oct 2014","Grand Prix Tashkent 2014","Uzbekistan","View results"
"10 Oct 2014","Grand Prix Astana 2014","Kazakhstan","View results"
"4 Oct 2014","European Open Lisbon 2014","Portugal","View results"
"4 Oct 2014","European Open Glasgow 2014","Great Britain","View results"
"27 Sep 2014","European Open Tallinn 2014","Estonia","View results"
"20 Sep 2014","Asian Games Incheon 2014","South Korea","View results"
"12 Sep 2014","Grand Prix Zagreb 2014","Croatia","View results"
"25 Aug 2014","World Championships Chelyabinsk 2014","Russia","View results"
"1 Aug 2014","Panamerican Open Miami 2014","United States","View results"
"27 Jul 2014","Asian Open Taipei City 2014","Chinese Taipei","View results"
"26 Jul 2014","Panamerican Open Santiago de Chile 2014","Chile","View results"
"12 Jul 2014","Grand Slam Tyumen 2014","Russia","View results"
"4 Jul 2014","Grand Prix Ulaanbaatar 2014","Mongolia","View results"
"21 Jun 2014","Grand Prix Budapest 2014","Hungary","View results"
"14 Jun 2014","Panamerican Open San Salvador 2014","El Salvador","View results"
"6 Jun 2014","Grand Prix Havana 2014","Cuba","View results"
"31 May 2014","European Open Madrid 2014","Spain","View results"
"9 May 2014","Grand Slam Baku 2014","Azerbaijan","View results"
"26 Apr 2014","Oceanian Championships Seniors 2014","New Zealand","View results"
"24 Apr 2014","European Championships Seniors 2014","France","View results"
"24 Apr 2014","Panamerican Championships Seniors 2014","Ecuador","View results"
"28 Mar 2014","Grand Prix Samsun 2014","Turkey","View results"
"22 Mar 2014","Panamerican Open Buenos Aires 2014","Argentina","View results"
"21 Mar 2014","Grand Prix Tblisi 2014","Georgia","View results"
"17 Mar 2014","Panamerican Open Montevideo 2014","Uruguay","View results"
"1 Mar 2014","European Open Prague 2014","Czech Republic","View results"
"1 Mar 2014","European Open Warsaw 2014","Poland","View results"
"21 Feb 2014","Grand Prix Dusseldorf 2014","Germany","View results"
"15 Feb 2014","European Open Oberwart 2014","Austria","View results"
"15 Feb 2014","European Open Rome 2014","Italy","View results"
"13 Feb 2014","European Open","Italy","View inscriptions"
"8 Feb 2014","Grand Slam Paris 2014","France","View results"
"1 Feb 2014","European Open Sofia 2014","Bulgaria","View results"
"25 Jan 2014","African Open Casablanca 2014","Morocco","View results"
"7 Dec 2013","Grand Prix Jeju 2013","South Korea","View results"
"29 Nov 2013","Grand Slam Tokyo 2013","Japan","View results"
"22 Nov 2013","Grand Prix Abu Dhabi 2013","United Arab Emirates","View results"
"16 Nov 2013","Oceanian Open Apia 2013","Samoa","View results"
"9 Nov 2013","African Open Port Louis 2013","Mauritius","View results"
"31 Oct 2013","Grand Prix Qingdao 2013","China","View results"
"19 Oct 2013","European Open Rome 2013","Italy","View results"
"19 Oct 2013","European Open Glasgow 2013","Great Britain","View results"
"12 Oct 2013","European Open Minsk 2013","Belarus","View results"
"4 Oct 2013","Grand Prix Tashkent 2013","Uzbekistan","View results"
"28 Sep 2013","Grand Prix Almaty 2013","Kazakhstan","View results"
"14 Sep 2013","Grand Prix Rijeka 2013","Croatia","View results"
"7 Sep 2013","Asian Open Taipei 2013","Chinese Taipei","View results"
"26 Aug 2013","World Championships Rio de Janeiro 2013","Brazil","View results"
"20 Jul 2013","Grand Slam Moscow 2013","Russia","View results"
"13 Jul 2013","Grand Prix Ulaanbaatar 2013","Mongolia","View results"
"22 Jun 2013","Panamerican Open San Salvador 2013","El Salvador","View results"
"15 Jun 2013","Grand Prix Miami 2013","United States","View results"
"8 Jun 2013","European Open Lisbon 2013","Portugal","View results"
"8 Jun 2013","European Open Tallin 2013","Estonia","View results"
"1 Jun 2013","European Open Madrid 2013","Spain","View results"
"1 Jun 2013","European Open Bucharest 2013","Romania","View results"
"25 May 2013","Masters Tyumen 2013","Russia","View results"
"4 May 2013","Grand Slam Baku 2013","Azerbaijan","View results"
"25 Apr 2013","European Championships Seniors 2013","Hungary","View results"
"19 Apr 2013","Asian Championships Seniors 2013","Thailand","View results"
"18 Apr 2013","Panamerican Championships Seniors 2013","Costa Rica","View results"
"17 Apr 2013","African Championships Seniors 2013","Mozambique","View results"
"13 Apr 2013","Oceanian Championships Seniors 2013","Australia","View results"
"30 Mar 2013","Grand Prix Samsun 2013","Turkey","View results"
"23 Mar 2013","Panamerican Open Buenos Aires 2013","Argentina","View results"
"16 Mar 2013","Panamerican Open Montevideo 2013","Uruguay","View results"
"2 Mar 2013","European Open Prague 2013","Czech Republic","View results"
"2 Mar 2013","European Open Warsaw 2013","Poland","View results"
"23 Feb 2013","Grand Prix Dusseldorf 2013","Germany","View results"
"16 Feb 2013","European Open Oberwart 2013","Austria","View results"
"16 Feb 2013","European Open Budapest 2013","Hungary","View results"
"9 Feb 2013","Grand Slam Paris 2013","France","View results"
"2 Feb 2013","European Open Sofia 2013","Bulgaria","View results"
"2 Feb 2013","European Open Tbilisi 2013","Georgia","View results"
"6 Dec 2012","World Cup Jeju 2012","South Korea","View results"
"30 Nov 2012","Grand Slam Tokyo 2012","Japan","View results"
"24 Nov 2012","Grand Prix Qingdao 2012","China","View results"
"16 Nov 2012","World Cup Apia 2012","Samoa","View results"
"11 Oct 2012","Grand Prix Abu Dhabi 2012","United Arab Emirates","View results"
"6 Oct 2012","World Cup Istanbul 2012","Turkey","View results"
"6 Oct 2012","World Cup Minsk 2012","Belarus","View results"
"29 Sep 2012","World Cup Rome 2012","Italy","View results"
"22 Sep 2012","World Cup Tashkent 2012","Uzbekistan","View results"
"8 Sep 2012","World Cup Ulaanbatar 2012","Mongolia","View results"
"28 Jul 2012","Olympic Games London 2012","Great Britain","View results"
"16 Jun 2012","World Cup Buenos Aires 2012","Argentina","View results"
"9 Jun 2012","World Cup Tallin 2012","Estonia","View results"
"9 Jun 2012","Grand Slam Rio de Janeiro 2012","Brazil","View results"
"9 Jun 2012","World Cup Lisbon 2012","Portugal","View results"
"2 Jun 2012","World Cup Madrid 2012","Spain","View results"
"2 Jun 2012","World Cup Bucharest 2012","Romania","View results"
"26 May 2012","Grand Slam Moscow 2012","Russia","View results"
"18 May 2012","World Cup San Salvador 2012","El Salvador","View results"
"10 May 2012","World Cup Miami 2012","United States","View results"
"5 May 2012","Grand Prix Baku 2012","Azerbaijan","View results"
"27 Apr 2012","Panamerican Championships Seniors 2012","Canada","View results"
"27 Apr 2012","Asian Championships Seniors 2012","Uzbekistan","View results"
"26 Apr 2012","European Championships Seniors 2012","Russia","View results"
"26 Apr 2012","Oceanian Championships Seniors 2012","Australia","View results"
"25 Feb 2012","World Cup Prague 2012","Czech Republic","View results"
"25 Feb 2012","World Cup Warszaw 2012","Poland","View results"
"18 Feb 2012","Grand Prix Dusseldorf 2012","Germany","View results"
"11 Feb 2012","World Cup Oberwart 2012","Austria","View results"
"11 Feb 2012","World Cup Budapest 2012","Hungary","View results"
"4 Feb 2012","Grand Slam Paris 2012","France","View results"
"28 Jan 2012","World Cup Tbilisi 2012","Georgia","View results"
"28 Jan 2012","World Cup Sofia 2012","Bulgaria","View results"
"14 Jan 2012","Masters Almaty 2012","Kazakhstan","View results"
"17 Dec 2011","Grand Prix Qingdao 2011","China","View results"
"9 Dec 2011","Grand Slam Tokyo 2011","Japan","View results"
"2 Dec 2011","World Cup Suwon 2011","South Korea","View results"
"19 Nov 2011","Grand Prix Amsterdam 2011","Netherlands","View results"
"11 Nov 2011","World Cup Apia 2011","Samoa","View results"
"16 Oct 2011","Grand Prix Abu Dhabi 2011","United Arab Emirates","View results"
"8 Oct 2011","World Cup Baku 2011","Azerbaijan","View results"
"8 Oct 2011","World Cup Minsk 2011","Belarus","View results"
"1 Oct 2011","World Cup Liverpool 2011","Great Britain","View results"
"1 Oct 2011","World Cup Rome 2011","Italy","View results"
"24 Sep 2011","World Cup Almata 2011","Kazakhstan","View results"
"17 Sep 2011","World Cup Tashkent 2011","Uzbekistan","View results"
"10 Sep 2011","World Cup Ulaanbaatar 2011","Mongolia","View results"
"23 Aug 2011","World Championships Paris 2011","France","View results"
"16 Jul 2011","World Cup San Salvador 2011","El Salvador","View results"
"9 Jul 2011","World Cup Puerto La Cruz 2011","Venezuela","View results"
"2 Jul 2011","World Cup Miami 2011","United States","View results"
"25 Jun 2011","World Cup Sao Paolo 2011","Brazil","View results"
"18 Jun 2011","Grand Slam Rio de Janeiro 2011","Brazil","View results"
"11 Jun 2011","World Cup Tallin 2011","Estonia","View results"
"11 Jun 2011","World Cup Lisbon 2011","Portugal","View results"
"4 Jun 2011","World Cup Bucharest 2011","Romania","View results"
"4 Jun 2011","World Cup Madrid 2011","Spain","View results"
"27 May 2011","Grand Slam Moscow 2011","Russia","View results"
"6 May 2011","Grand Prix Baku 2011","Azerbaijan","View results"
"21 Apr 2011","European Championships Istanbul 2011","Turkey","View results"
"15 Apr 2011","Oceanian Championships Tahiti 2011","French Polynesia","View results"
"14 Apr 2011","African Championships Dakar 2011","Senegal","View results"
"5 Apr 2011","Asian Championships Abu Dhabi 2011","United Arab Emirates","View results"
"1 Apr 2011","Panamerican Championships Guadalajara 2011","Mexico","View results"
"26 Feb 2011","World Cup Prague 2011","Czech Republic","View results"
"26 Feb 2011","World Cup Warsaw 2011","Poland","View results"
"19 Feb 2011","Grand Prix Dusseldorf 2011","Germany","View results"
"12 Feb 2011","World Cup Budapest 2011","Hungary","View results"
"12 Feb 2011","World Cup Oberwart 2011","Austria","View results"
"5 Feb 2011","Grand Slam Paris 2011","France","View results"
"29 Jan 2011","World Cup Tbilisi 2011","Georgia","View results"
"29 Jan 2011","World Cup Sofia 2011","Bulgaria","View results"
"15 Jan 2011","Masters Baku 2011","Azerbaijan","View results"
"17 Dec 2010","Grand Prix Qingdao 2010","China","View results"
"11 Dec 2010","Grand Slam Tokyo 2010","Japan","View results"
"3 Dec 2010","World Cup Sowun 2010","South Africa","View results"
"22 Nov 2010","Grand Prix Abu Dhabi 2010","United Arab Emirates","View results"
"12 Nov 2010","World Cup Apia 2010","Samoa","View results"
"16 Oct 2010","Grand Prix Rotterdam 2010","Netherlands","View results"
"9 Oct 2010","World Cup Baku 2010","Azerbaijan","View results"
"9 Oct 2010","World Cup Minsk 2010","Belarus","View results"
"2 Oct 2010","World Cup Birmingham 2010","Great Britain","View results"
"2 Oct 2010","World Cup Rome 2010","Italy","View results"
"25 Sep 2010","World Cup Tashkent 2010","Uzbekistan","View results"
"25 Sep 2010","World Cup Alamata 2010","Kazakhstan","View results"
"9 Sep 2010","World Championships Tokyo 2010","Japan","View results"
"26 Aug 2010","World Cup Miami 2010","United States","View results"
"24 Jul 2010","World Cup Ulaanbaatar 2010","Mongolia","View results"
"3 Jul 2010","Grand Slam Moscow 2010","Russia","View results"
"26 Jun 2010","World Cup San Salavador 2010","El Salvador","View results"
"19 Jun 2010","World Cup Isla de Margarita 2010","Venezuela","View results"
"12 Jun 2010","World Cup Tallin 2010","Estonia","View results"
"12 Jun 2010","World Cup Lisbon 2010","Portugal","View results"
"5 Jun 2010","World Cup Madrid 2010","Spain","View results"
"5 Jun 2010","World Cup Bucharest 2010","Romania","View results"
"29 May 2010","World Cup Belo Horizonte 2010","Brazil","View results"
"22 May 2010","Grand Slam Rio de Janeiro 2010","Brazil","View results"
"15 May 2010","World Cup Cairo 2010","Egypt","View results"
"7 May 2010","Grand Prix Tunis 2010","Tunisia","View results"
"22 Apr 2010","European Championships Vienna 2010","Austria","View results"
"22 Apr 2010","Asian Championships Guangzhou 2010","China","View results"
"15 Apr 2010","African Championships Yaounde 2010","Cameroon","View results"
"15 Apr 2010","Oceanian Championships Canaberra 2010","Australia","View results"
"8 Apr 2010","Panamerican Championships San Salvador 2010","El Salvador","View results"
"27 Feb 2010","World Cup Warsaw 2010","Poland","View results"
"27 Feb 2010","World Cup Prague 2010","Czech Republic","View results"
"20 Feb 2010","Grand Prix Dussedorf 2010","Germany","View results"
"13 Feb 2010","World Cup Vienna 2010","Austria","View results"
"13 Feb 2010","World Cup Budapest 2010","Hungary","View results"
"6 Feb 2010","Grand Slam Paris 2010","France","View results"
"30 Jan 2010","World Cup Tbilisi 2010","Georgia","View results"
"30 Jan 2010","World Cup Sofia 2010","Bulgaria","View results"
"16 Jan 2010","Masters Suwon 2010","South Korea","View results"
"11 Dec 2009","Grand Slam Tokyo 2009","Japan","View results"
"4 Dec 2009","World Cup Suwon 2009","South Korea","View results"
"28 Nov 2009","Grand Prix Qingdao 2009","China","View results"
"20 Nov 2009","Grand Prix Abu Dhabi 2009","United Arab Emirates","View results"
"14 Nov 2009","World Cup Apia 2009","Samoa","View results"
"31 Oct 2009","World Cup Ulaanbaatar 2009","Mongolia","View results"
"10 Oct 2009","World Cup Minsk 2009","Belarus","View results"
"10 Oct 2009","World Cup Baku 2009","Azerbaijan","View results"
"19 Sep 2009","World Cup Birmingham 2009","Great Britain","View results"
"26 Aug 2009","World Championships Rotterdam 2009","Netherlands","View results"
"11 Jul 2009","World Cup Belo Horizonte 2009","Brazil","View results"
"4 Jul 2009","Grand Slam Rio de Janeiro 2009","Brazil","View results"
"13 Jun 2009","World Cup Tallin 2009","Estonia","View results"
"13 Jun 2009","World Cup Madrid 2009","Spain","View results"
"6 Jun 2009","World Cup Lisbon 2009","Portugal","View results"
"6 Jun 2009","World Cup Bucharest 2009","Romania","View results"
"30 May 2009","Grand Slam Moscow 2009","Russia","View results"
"9 May 2009","Grand Prix Tunis 2009","Tunisia","View results"
"24 Apr 2009","European Championships Tblisi 2009","Georgia","View results"
"28 Feb 2009","World Cup Prague 2009","Czech Republic","View results"
"28 Feb 2009","World Cup Warsaw 2009","Poland","View results"
"21 Feb 2009","Grand Prix Hamburg 2009","Germany","View results"
"14 Feb 2009","World Cup Budapest 2009","Hungary","View results"
"14 Feb 2009","World Cup Vienna 2009","Austria","View results"
"7 Feb 2009","Grand Slam Paris 2009","France","View results"
"24 Jan 2009","World Cup Tbilisi 2009","Georgia","View results"
"24 Jan 2009","World Cup Sofia 2009","Bulgaria","View results"
"24 Jan 2009","Masters Suwon 2009","South Korea","View inscriptions"
